question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,ka,difficulty_label,difficulty_b,discrimination,guess_rate,slip_rate,primary_concept,secondary_concepts,babok_reference,perspectives,competencies
A BA is tracing requirements (5.1) for a critical component of a complex system. The BA identifies a link between a functional requirement and the specific module of the system implementing it. This relationship type is classified as:,Derive.,Depends.,Validate.,Satisfy.,D,The Satisfy relationship links implementation to the requirements it satisfies.,Requirements Life Cycle Management,Medium,0.62,1.45,0.2,0.07,satisfy,relationships,5.1.4.2,it,analytical;
The purpose of Trace Requirements (5.1) is to:,Ensure that requirements are defined correctly and meet quality standards.,"Analyze and maintain the relationships between requirements, designs, and other work products.",Rank requirements to determine their relative importance to stakeholders.,Obtain consensus and formal approval on the requirements package.,B,The purpose is to analyze and maintain relationships between requirements and designs.,Requirements Life Cycle Management,Easy,-1.45,0.95,0.25,0.03,traceability,purpose,5.1.1,,analytical;
Which external factor most significantly increases the required formality and effort needed when tracing requirements (5.1)?,The geographical distribution of stakeholders.,An increase in the total number of requirements.,The methodology being adaptive rather than predictive.,The project being managed by a new Project Manager.,B,Traceability effort grows significantly as the number of requirements increases.,Requirements Life Cycle Management,Medium,0.24,1.35,0.22,0.05,formality,complexity,5.1.4.1,,analytical;
"During Trace Requirements (5.1), a BA links a high-level business requirement to a lower-level stakeholder requirement that originated from it. This relationship type is classified as:",Validate.,Depends (Necessity).,Derive.,Satisfy.,C,The Derive relationship links requirements on different levels of abstraction.,Requirements Life Cycle Management,Medium,0.46,1.4,0.2,0.06,derive,relationships,5.1.4.2,,analytical;
The Governance Approach serves as a critical input to Trace Requirements (5.1) because it helps the BA determine:,The expected benefit of maintaining traceability.,The tools used for the traceability repository.,The level of detail required for traceability links.,The stakeholders who must approve the traceability links.,A,The Information Management Approach (guided by Governance) provides traceability decisions to add value without overhead.,Requirements Life Cycle Management,Hard,2.62,2.15,0.15,0.15,ba-governance,inputs,5.1.5,,analytical;
The output of Trace Requirements (5.1) is Requirements (traced) and Designs (traced). What is the primary use of this output for other tasks?,To detect missing functionality or implemented functionality that is not supported by any requirement.,To accelerate the writing of user stories and acceptance criteria.,To formally hand off requirements to the technical architecture team.,To justify the budget of the solution implementation.,A,Traceability detects missing functionality or unsupported implementation.,Requirements Life Cycle Management,Medium,-0.12,1.2,0.25,0.05,traceability,outputs,5.1.2,,analytical;
The core concept 'Solution' is primarily addressed during Trace Requirements (5.1) by ensuring that:,The solution architecture is independent of the business need.,Requirements are linked to the specific solution components that satisfy them.,The proposed change strategy is aligned with the organizational goals.,All transition requirements are documented before solution deployment.,B,Trace Requirements traces requirements to components to ensure the solution satisfies the need.,Requirements Life Cycle Management,Medium,-0.45,1.15,0.25,0.04,core-concepts,solution,5.1.2,,analytical;
The purpose of Maintain Requirements (5.2) is to:,Assess the performance of the solution after implementation.,Retain requirement accuracy and consistency throughout the life cycle and support reuse.,Obtain explicit approval for all business requirements.,Define the target metrics for measuring future state success.,B,The purpose is to retain accuracy throughout the life cycle and support reuse.,Requirements Life Cycle Management,Easy,0.78,0.95,0.25,0.06,requirements-maintenance,purpose,5.2.1,,analytical;
A business analyst is reviewing aged requirements for a core business process to determine if they are candidates for reuse (5.2.4.3). Which type of requirement is most likely to be reusable and require maintenance for the long term?,Regulatory requirements that govern ongoing organizational adherence.,Specific functional requirements tied to a soon-to-be-retired application.,Temporary transition requirements regarding data migration.,User stories describing an interface mock-up.,A,Ongoing obligations like regulatory requirements are potential candidates for long-term reuse.,Requirements Life Cycle Management,Medium,-2.15,0.85,0.25,0.01,requirements-reuse,regulatory,5.2.4.3,,analytical;
"During Maintain Requirements (5.2), a BA notes that a requirement attribute, 'Stability,' has shifted from 'Low' to 'High.' Which accompanying action must the BA perform, even though the requirement content itself hasn't changed?",Update the requirement's definition to reflect the new stability.,Update the relationships between the requirement and its associated business analysis information.,Request immediate re-prioritization of the requirement.,Remove the requirement from the traceability repository.,B,Business analysts maintain relationships among requirements to ensure context is preserved.,Requirements Life Cycle Management,Medium,0.35,1.25,0.22,0.05,relationships,attributes,5.2.4.1,,analytical;
A BA uses Process Modelling as a technique during Maintain Requirements (5.2). How does this technique primarily support the task?,To graphically define the business rules associated with the process.,To define the flow of control and timing constraints.,To identify requirements associated with the processes that may be available for reuse.,To help identify new requirements needed to fix defects.,C,Process Modelling identifies requirements associated with processes for reuse.,Requirements Life Cycle Management,Medium,0.56,1.4,0.2,0.07,process-modelling,requirements-reuse,5.2.6,,analytical;
The principle that requirements intended for reuse should be written with limited reference to specific solutions or organizational structure supports the effectiveness of which requirement characteristic?,High Priority.,High Abstraction.,Low Technicality.,Low Urgency.,B,Requirements at high levels of abstraction tend to be more reusable.,Requirements Life Cycle Management,Medium,-0.08,1.2,0.25,0.04,abstraction,requirements-reuse,5.2.4.3,,analytical;
The purpose of Prioritize Requirements (5.3) is to:,Establish traceability links between requirements and solution components.,Rank requirements in the order of relative importance.,Verify requirements against quality standards.,Determine solution options and their feasibility.,B,The purpose is to rank requirements in order of importance.,Requirements Life Cycle Management,Easy,0.44,0.95,0.25,0.04,prioritization,purpose,5.3.1,,analytical;
"A BA is facilitating a prioritization session (5.3) for a new software release. The Implementation Subject Matter Experts strongly argue for prioritizing Requirement X (high cost, complex dependencies) over Requirement Y (low cost, high business value). Their reasoning is likely based on maximizing value by considering which factor?","Risk, specifically reducing the probability of technical non-feasibility early on.","Penalty, avoiding regulatory non-compliance.","Time Sensitivity, addressing a contractual deadline.","Dependencies, minimizing the total number of linked requirements.",A,"If technical feasibility is a risk, the most difficult requirement may be prioritized first.",Requirements Life Cycle Management,Hard,-1.72,1.8,0.25,0.08,prioritization,risk,5.3.4.1,,analytical;
The prioritization factor 'Penalty' (5.3.4.1) primarily influences priority based on:,The estimated financial cost to implement the requirement.,The negative consequences resulting from NOT implementing the requirement.,The organizational capacity to absorb the change associated with the requirement.,The likelihood that the requirement definition will change.,B,"Penalty refers to consequences from not implementing a requirement, such as regulatory demands.",Requirements Life Cycle Management,Easy,2.05,0.9,0.25,0.1,penalty,prioritization,5.3.4.1,,analytical;
Which input is necessary for the Prioritize Requirements task (5.3) to ensure the team adheres to the agreed-upon method for ranking requirements?,Requirements Architecture.,Change Strategy.,Governance Approach.,Solution Scope.,C,The Governance Approach outlines the method and criteria for prioritization.,Requirements Life Cycle Management,Medium,-2.25,0.85,0.25,0.01,governance-approach,inputs,5.3.5,,analytical;
The BA is leading a negotiation session (5.3.4.4) where stakeholders have conflicting priorities regarding a new product feature set. The BA successfully resolves the conflict by getting the stakeholders to agree on implementing a subset of features immediately and deferring the remainder. This success directly contributes to maximizing which core concept?,Need.,Context.,Value.,Change.,C,Prioritization ensures maximum value is achieved when resources are constrained.,Requirements Life Cycle Management,Medium,0.48,1.4,0.2,0.06,core-concepts,value,2.1,,interaction;
The purpose of Assess Requirements Changes (5.4) is to:,Evaluate the implications of proposed changes to requirements and designs.,Formally accept the requirements package before baselining.,Determine the feasibility of implementing the proposed solution.,Ensure all requirements trace back to the business case.,A,The purpose is to evaluate implications of proposed changes to requirements and designs.,Requirements Life Cycle Management,Easy,-0.25,1.15,0.25,0.04,change-assessment,purpose,5.4.1,,analytical;
"A stakeholder proposes a major change to an approved design. As the BA performs the impact analysis (5.4.4.2), which dimension should be assessed in conjunction with Cost, Benefit, and Schedule?","Urgency, focusing on necessity driven by regulatory or safety issues.","Author, validating the source of the requirement.","Stability, measuring the likelihood of further refinement.","Ownership, determining who controls the resource budget.",A,"Impact analysis considers Benefit, Cost, impact, Schedule, and Urgency.",Requirements Life Cycle Management,Medium,-1.38,0.95,0.25,0.03,impact-analysis,urgency,5.4.4.2,,analytical;
A BA is determining the formality required for assessing a proposed change (5.4.4.1). The project uses an adaptive approach with short iterations. Which statement regarding formality is true in this context?,Adaptive approaches always require high formality to manage frequent changes.,"Adaptive approaches may require less formality, leveraging iterative techniques to minimize disruption.","Formality is determined solely by the regulatory constraints, regardless of methodology.",The assessment must be entirely deferred until the end of the implementation phase.,B,"An adaptive approach may require less formality, as iterative implementation minimizes the impact.",Requirements Life Cycle Management,Medium,0.32,1.25,0.22,0.05,formality,adaptive-approach,5.4.4.1,agile,analytical;
"Which output provides the necessary recommendation to approve, modify, or deny a proposed change to requirements?",Requirements Change Assessment.,Designs Change Assessment.,Governance Approach.,Requirements (approved).,A,The Requirements Change Assessment output contains the recommendation regarding a change.,Requirements Life Cycle Management,Easy,0.1,1.2,0.25,0.05,change-assessment,outputs,5.4.8,,analytical;
Traceability is listed as a guideline/tool for Assess Requirements Changes (5.4). How is traceability primarily used in this task?,It ensures the cost of the proposed change is accurately estimated.,It identifies all related requirements or solution components that may also require modification due to the proposed change.,It formalizes the change request documentation.,It facilitates communication of the change assessment results to the Sponsor.,B,Traceability identifies all related requirements or components that may also require change.,Requirements Life Cycle Management,Medium,-2.45,0.85,0.25,0.01,traceability,impact-analysis,5.4.5,,analytical;
The purpose of Approve Requirements (5.5) is to:,Ensure the requirements are technically feasible.,Obtain agreement on and approval of requirements and designs for work to continue.,Define how requirements will be stored and reused long-term.,Assess the cost-benefit ratio of the proposed solution options.,B,The purpose is to obtain agreement and approval for construction to proceed.,Requirements Life Cycle Management,Easy,0.52,0.95,0.25,0.06,approvals,purpose,5.5.1,,interaction;
"A Business Analyst is attempting to gain consensus (5.5.4.3) on a critical, high-risk set of requirements where stakeholders hold conflicting views. Before proceeding to request formal approval, the BA should primarily rely on which underlying competency?",Conceptual Thinking.,Risk-seeking behavior.,"Interaction Skills, specifically conflict resolution.",Methodology Knowledge.,C,Conflict resolution is crucial for facilitating communication and resolving conflicting priorities.,Requirements Life Cycle Management,Medium,-0.32,1.2,0.25,0.04,consensus,interaction-skills,5.5.4.3,,interaction;
Which is the key input for the Approve Requirements task (5.5)?,Designs.,Requirements (verified).,Change Strategy.,Solution Scope.,B,"Requirements (verified) is the necessary input, signifying a set of sufficient quality.",Requirements Life Cycle Management,Medium,-1.58,0.9,0.25,0.02,approvals,inputs,5.5.3,,analytical;
"A BA is tracking and communicating approval status (5.5.4.4). Maintaining an audit history of changes (who made the change, reason, and when) is important for what primary purpose?",Ensuring compliance during an audit and maintaining confidence in baselined requirements.,Calculating the final project budget and schedule adherence.,Determining the allocation of requirements to specific solution components.,Forecasting the long-term maintenance cost of the solution.,A,An audit history ensures accurate records for communication and compliance.,Requirements Life Cycle Management,Medium,-1.92,0.85,0.25,0.02,audit-history,approvals,5.5.4.4,,analytical;
A Project Manager serves as a key stakeholder during the Approve Requirements task (5.5). What is the Project Manager's typical primary concern during this process?,Ensuring the requirement is fully tested.,Managing the project plan activities pertaining to review and/or approval.,Defining the business case justification for the requirement.,Providing the technical design for the requirements.,B,The PM is responsible for managing the project plan activities pertaining to review and approval.,Requirements Life Cycle Management,Medium,2.38,1.9,0.2,0.12,project-manager,stakeholders,5.5.7,,interaction;
The purpose of Analyze Current State (6.1) is to:,Determine the set of necessary conditions to meet the business need.,Develop and assess alternative approaches to the change.,Understand why the enterprise needs to change and what will be affected by the change.,Measure the actual performance of the implemented solution.,C,The purpose is to understand why an enterprise needs to change and what will be affected.,Strategy Analysis,Easy,0.26,1.25,0.25,0.05,current-state,purpose,6.1.1,,analytical;
A BA discovers that the primary motivation for a change initiative is a direct order from the CEO to 'Fix the customer retention problem' by implementing a new CRM system. What is the most important BA task to perform immediately in Analyze Current State (6.1)?,Develop a detailed process model of the new CRM implementation.,Challenge the presumed solution (new CRM) to define the underlying business need (customer retention problem).,Decompose the CEO's order into detailed functional requirements.,Analyze the performance metrics of all IT systems currently in use.,B,The BA must question assumptions and presumed solutions to ensure the correct problem is being solved.,Strategy Analysis,Hard,-1.18,1.9,0.25,0.03,business-need,problem-solving,6.1.4.1,,analytical;
"Which element of Analyze Current State (6.1) explores how the enterprise currently generates profits and accomplishes goals, including formal/informal communication channels?",Business Needs.,Organizational Structure and Culture.,Policies.,Internal Assets.,B,Organizational Knowledge includes how the enterprise generates profits and formal/informal channels.,Strategy Analysis,Medium,-2.68,0.75,0.25,0.01,organization-knowledge,current-state,6.1.4.2,,business-knowledge;
A BA is reviewing the external environment in Analyze Current State (6.1). Which factor is considered an external influencer?,Organizational culture.,Infrastructure capabilities.,Competitors.,Business architecture.,C,Competitors are an external influencer along with industry structure and customers.,Strategy Analysis,Easy,0.15,1.2,0.25,0.05,external-influencers,current-state,6.1.4.8,,analytical;
"Which technique is most appropriate for assessing the enterprise's current internal and external health, identifying strengths, weaknesses, opportunities, and threats?",Root Cause Analysis.,SWOT Analysis.,Benchmarking and Market Analysis.,Functional Decomposition.,B,SWOT Analysis evaluates internal strengths/weaknesses and external opportunities/threats.,Strategy Analysis,Easy,-1.78,0.9,0.25,0.02,swot-analysis,current-state,6.1.6,,analytical;
The output 'Business Requirements' from Analyze Current State (6.1) represents:,The comprehensive list of technical requirements for the future solution.,"The problem, opportunity, or constraint defined based on understanding the current state.",The detailed functional requirements derived from stakeholder needs.,The acceptance criteria for the future solution implementation.,B,Business Requirements are the problem or opportunity defined from understanding the current state.,Strategy Analysis,Easy,0.42,1.3,0.25,0.05,business-requirements,outputs,6.1.8,,analytical;
The purpose of Define Future State (6.2) is to:,Identify all current process bottlenecks and constraints.,"Determine the set of necessary conditions (goals, objectives, scope) to meet the business need.",Assess all risks associated with the change strategy.,Break down the solution into implementable components.,B,The purpose is to determine the set of necessary conditions to meet the business need.,Strategy Analysis,Easy,-0.48,1.15,0.25,0.04,future-state,purpose,6.2.1,,analytical;
"A BA defines a business objective for a new service line: 'Increase recurring subscription revenue by 20% within 12 months.' This objective adheres to the SMART characteristic 'Measurable' by quantifying progress, and which other key characteristic?","Specific, describing an observable outcome.","Achievable, ensuring feasibility.","Relevant, aligning with enterprise vision.","Time-bounded, defining a finite period.",D,'Within 12 months' addresses the time-bounded requirement of SMART objectives.,Strategy Analysis,Medium,-2.28,0.85,0.25,0.01,business-objectives,smart,6.2.4.1,,analytical;
"In Define Future State (6.2), stakeholders identify high-level constraints, such as 'Must comply with all GDPR data privacy regulations.' This constraint is most likely rooted in which current state element?",Organizational Structure.,Technology and Infrastructure.,Policies and Legal/Regulatory Information.,Internal Assets.,C,Compliance constraints are rooted in policies and the legal/regulatory environment.,Strategy Analysis,Medium,-1.62,0.9,0.25,0.02,constraints,regulatory,6.2.4.3,,analytical;
The BA uses the Current State Description (an input) during Define Future State (6.2) primarily because:,It provides the context and serves as a starting point for defining the future state.,It mandates the technology stack to be used in the solution.,It defines the solution scope and implementation timeline.,It lists all necessary stakeholders for the project.,A,The Current State Description provides context and serves as a starting point for the future state.,Strategy Analysis,Easy,0.02,1.2,0.25,0.05,current-state,inputs,6.2.5,,analytical;
"When defining the scope of the solution space (6.2.4.2), the key constraint driving the decision on which solution options to consider is the:",Total estimated cost of the overall change effort.,Potential Value anticipated from the solution.,Availability of the Implementation SMEs.,Complexity of the legacy infrastructure.,B,Solution scope is dependent on potential value delivered to meet goals.,Strategy Analysis,Medium,-1.42,0.95,0.25,0.03,solution-scope,value,6.2.4.2,,analytical;
"A Business Analyst completes the Define Future State task (6.2), producing outputs including Business Objectives and Potential Value. Which subsequent task uses these outputs to assess uncertainties before finalizing the approach?",Define Change Strategy (6.4).,Assess Risks (6.3).,Validate Requirements (7.3).,Measure Solution Performance (8.1).,B,Business Objectives and Potential Value are benchmarks used to assess risks.,Strategy Analysis,Medium,0.36,1.35,0.22,0.05,risk-assessment,outputs,6.2.8,,analytical;
The purpose of Assess Risks (6.3) is to:,Identify potential opportunities for value generation.,Determine the necessary business requirements for the future state.,Understand the undesirable consequences of internal/external forces and recommend a course of action.,Define the activities required to transition from current to future state.,C,The purpose is to understand undesirable consequences and recommend action.,Strategy Analysis,Easy,0.76,1.45,0.25,0.07,risk-assessment,purpose,6.3.1,,analytical;
"A BA assesses a major risk: 'If the regulatory deadline is moved forward by 3 months, then we will be non-compliant and incur severe penalties.' This assessment focuses on the risk's effect on which core concept?",Change.,Value.,Need.,Solution.,B,"Risks are conditions that increase the impact to value (penalties, etc).",Strategy Analysis,Medium,-2.08,0.85,0.25,0.01,core-concepts,value,2.1,,analytical;
"An organization has a 'Risk-aversion' attitude toward compliance risk. When Assess Risks (6.3) is performed, what type of recommendation should the BA prioritize for high-likelihood compliance risks?",Transfer the risk by purchasing insurance.,Accept the risk and develop a workaround plan.,Avoid the risk or heavily invest in mitigation strategies.,Increase the risk to pursue greater potential benefit.,C,Risk-averse organizations prefer avoidance or heavy mitigation to reduce likelihood.,Strategy Analysis,Medium,0.12,1.3,0.25,0.05,risk-tolerance,mitigation,6.3.4.4,,analytical;
Which input is utilized in Assess Risks (6.3) to provide a benchmark against which the impact of uncertainties can be evaluated?,Influences (internal and external).,Current State Description.,Future State Description.,Potential Value.,D,Potential Value provides the benchmark against which risks can be assessed.,Strategy Analysis,Medium,-0.38,1.2,0.25,0.04,potential-value,inputs,6.3.3,,analytical;
A BA uses brainstorming with the implementation team during Assess Risks (6.3). What is the primary objective of this collaboration?,To determine the final risk response plan.,To collaboratively identify a broad list of potential risks for assessment.,To define the business objectives in a high-risk environment.,To secure funding to mitigate high-impact risks.,B,Brainstorming collaboratively identifies risks before formal analysis.,Strategy Analysis,Easy,0.54,1.4,0.25,0.07,brainstorming,risk-identification,10.5,,interaction;
The primary output of Assess Risks (6.3) is:,Risk Analysis Results.,Change Strategy.,Solution Recommendation.,Business Requirements.,A,"The output is Risk Analysis Results, providing an understanding of risks and mitigation.",Strategy Analysis,Easy,-1.82,0.9,0.25,0.02,risk-analysis-results,outputs,6.3.8,,analytical;
The purpose of Define Change Strategy (6.4) is to:,"Develop and assess alternative approaches to the change, and then select the recommended approach.",Define the minimum set of criteria for solution acceptance.,Determine all organizational constraints that limit the enterprise.,Finalize the detailed functional specifications of the solution.,A,The purpose is to develop alternative approaches and select a recommendation.,Strategy Analysis,Easy,0.46,1.4,0.25,0.06,change-strategy,purpose,6.4.1,,analytical;
A BA is performing a Gap Analysis (6.4.4.2) between the Current State and Future State. Which category of enterprise capabilities must the BA analyze to identify changes needed for the transition?,"Staff competencies, knowledge, and skills.",Organizational structures.,Data and information management.,All of the above.,D,"Gap analysis identifies differences across competencies, structures, data, and technology.",Strategy Analysis,Medium,-1.98,0.85,0.25,0.01,gap-analysis,change-strategy,6.4.4.2,,analytical;
"When evaluating various potential Change Strategies (6.4.4.4), the BA must consider the costs and benefits of selecting one strategy over another. The value lost by choosing a particular strategy instead of the next best alternative is known as:",Sunk Cost.,Net Present Value.,Return on Investment.,Opportunity Cost.,D,Opportunity cost refers to benefits achieved by selecting an alternative strategy.,Strategy Analysis,Medium,0.34,1.35,0.22,0.05,opportunity-cost,financial-analysis,10.2,,analytical;
A BA develops a high-level plan that details which functional requirements will be included in each of the three planned releases before the Future State is achieved. This activity is part of defining:,The Solution Scope.,The Enterprise Readiness Assessment.,Transition States and Release Planning.,The Business Need.,C,Sequence of intermediate steps and release planning are critical for transition states.,Strategy Analysis,Medium,2.58,2.15,0.18,0.15,release-planning,transition-states,6.4.4.5,,analytical;
The primary output of Define Change Strategy (6.4) is the Change Strategy and the Solution Scope. Why is Solution Scope an output of this strategic task?,Because the solution boundaries must be defined in detail before implementation begins.,Because the change strategy directly determines the specific set of capabilities the solution must deliver.,Because the Solution Scope is necessary to justify the business case.,Because identifying the scope is necessary for the initial elicitation activities.,B,The Solution Scope defines capabilities delivered which are justified by the strategy.,Strategy Analysis,Medium,-2.32,0.85,0.25,0.01,solution-scope,outputs,6.4.8,,analytical;
The element 'Enterprise Readiness Assessment' (6.4.4.3) primarily focuses on assessing the organization's capacity to:,Develop and construct the technical solution using internal resources.,"Make the change, sustain the change, and realize value from the solution.",Obtain approval from all key regulators before implementation.,Negotiate favorable terms with all external suppliers.,B,Readiness assessment considers capacity to make and sustain the change and realize value.,Strategy Analysis,Easy,-1.7,0.9,0.25,0.02,enterprise-readiness,change-strategy,6.4.4.3,,analytical;
"When an IT system change is driven by technology obsolescence, the BA uses the IT Perspective. Which factor must the BA prioritize to ensure the change is valuable?",Aligning the IT change to the organizational strategy and business purpose.,Minimizing the scope to reduce complexity.,Ensuring the Project Manager has full control over budget and timeline.,Deferring all stakeholder communication until the solution is implemented.,A,Technology-driven changes must align with organizational strategy to deliver value.,Information Technology Perspective,Medium,-1.48,0.95,0.25,0.03,it-perspective,strategic-alignment,11.3.1,it,analytical;
"In an IT context, the BA is asked to analyze the implications of transitioning from a bespoke system to a COTS solution. Which BA activity becomes significantly different compared to in-house development?",Negotiating licensing and pricing models with the vendor.,Defining detailed functional requirements.,Conducting user interviews.,Creating process models of the future state.,A,The COTS process requires specialized vendor management and negotiation activities.,Information Technology Perspective,Medium,0.64,1.4,0.22,0.06,cots,vendor-assessment,11.3.1,it,analytical;
The primary role of the BA in a non-agile IT initiative is often described as a 'translator' or 'liaison.' This responsibility heavily relies on which underlying competency?,Conceptual Thinking.,Systems Thinking.,Methodology Knowledge.,Personal Accountability.,B,Systems thinking supports the translation of business vision to technical needs by seeing the whole.,Information Technology Perspective,Medium,1.95,1.75,0.18,0.1,it-perspective,systems-thinking,9.1.5,it,analytical;
"In the IT Perspective, which type of requirement often defines the entire business goal for a change initiative, especially those related to infrastructure or stability?",Functional Requirements.,Transition Requirements.,Business Requirements.,Non-Functional Requirements.,D,"For maintenance efforts, Non-Functional Requirements (uptime, etc) may define all goals.",Information Technology Perspective,Medium,-2.82,0.8,0.25,0.01,non-functional-requirements,it-perspective,11.3.1,it,analytical;
"When an IT business analyst is defining requirements to be used by developers, technical designs (solution architecture) are often excluded from the BA's deliverables. Why?",To avoid confusing the business stakeholders with technical terminology.,Because 'design' is traditionally reserved for technical experts (like architects) to maintain separation of responsibility and specialization.,Because design activities are completed only in the Solution Evaluation KA.,To ensure the requirements package remains lightweight.,B,"In IT, 'design' is often reserved for architects to maintain separation of responsibility.",Information Technology Perspective,Easy,-1.88,0.9,0.25,0.02,separation-of-concerns,design,11.3,it,analytical;
The purpose of Specify and Model Requirements (7.1) is to:,Structure all requirements so they support the overall business purpose.,"Analyze, synthesize, and refine elicitation results into requirements and designs.",Ensure requirements meet quality standards and are usable.,Estimate the potential value of proposed solution options.,B,The purpose is to analyze and refine results into requirements and designs.,Requirements Analysis and Design Definition,Easy,0.28,1.25,0.25,0.05,specify-and-model,purpose,7.1.1,,analytical;
A BA decides to use a Matrix format to model requirements. This format is best suited when modeling information that has a:,Complex but uniform structure that can be categorized and cross-referenced.,Sequential flow of activities across different roles.,Hierarchical decomposition of business functions.,Complex chronological order of object interactions.,A,A matrix is used when requirements have complex but uniform structure for cross-referencing.,Requirements Analysis and Design Definition,Medium,-0.24,1.15,0.25,0.04,modelling-format,matrix,7.1.4.1,,analytical;
"When specifying requirements (7.1), categorizing them according to the Requirements Classification Schema (Business, Stakeholder, Solution, Transition) helps the BA primarily to:",Ensure legal and regulatory compliance.,Confirm requirements are fully understood and establish appropriate traceability links between types.,Determine the precise cost of implementation for each requirement.,Assign ownership and approval authority for each requirement.,B,Categorizing ensures requirements are understood and establishes traceability links.,Requirements Analysis and Design Definition,Medium,-2.18,0.85,0.25,0.01,classification-schema,traceability,7.1.4.3,,analytical;
A BA is documenting detailed requirements for a system interface using a Sequence Diagram (a technique). Which model category is the BA focusing on?,Rationale (Why).,Activity Flow (Sequence).,Data and Information (Exchange).,People and Roles (Interaction).,C,"Sequence Diagrams model information exchange, falling under Data and Information modeling.",Requirements Analysis and Design Definition,Medium,-1.96,0.85,0.25,0.01,modelling-category,sequence-diagrams,7.1.4.1,,analytical;
Which guideline/tool provides the boundary for the requirements and designs models produced in Specify and Model Requirements (7.1)?,Requirements Life Cycle Management Tools.,Modelling Notations/Standards.,Solution Scope.,Requirements Architecture.,C,The Solution Scope sets the boundaries for the requirements and designs models.,Requirements Analysis and Design Definition,Easy,0.16,1.2,0.25,0.05,solution-scope,guidelines,7.1.5,,analytical;
The primary output of the Specify and Model Requirements task (7.1) is:,Elicitation Results (confirmed).,Requirements (verified).,Requirements (specified and modelled).,Designs (approved).,C,"The output is Requirements (specified and modelled) in text, matrices, and diagrams.",Requirements Analysis and Design Definition,Easy,-0.14,1.15,0.25,0.04,specify-and-model,outputs,7.1.8,,analytical;
A BA is developing a highly detailed data model to inform database construction. This detailed modeling reflects implementing the appropriate level of abstraction (7.1.4.4) based on which factor?,The need to simplify the domain for business stakeholders.,The need for explicit technical detail required by the implementation team.,The necessity of integrating many different systems.,The decision to use a fully adaptive methodology.,B,Detailed models are required when technical audiences like developers consume the information.,Requirements Analysis and Design Definition,Medium,0.44,1.35,0.22,0.06,abstraction,audience,7.1.4.4,,analytical;
The purpose of Verify Requirements (7.2) is to ensure that requirements and designs specifications and models:,Align to the business requirements and deliver value.,Meet quality standards and are usable for the purpose they serve.,Are prioritized correctly based on urgency and risk.,Are formally approved by all necessary stakeholders.,B,The purpose is to ensure requirements meet quality standards and are usable.,Requirements Analysis and Design Definition,Easy,-1.52,0.9,0.25,0.02,verification,purpose,7.2.1,,analytical;
"A business analyst discovers a requirement stating, 'The system must be secure.' This requirement fails to meet which critical characteristic of quality requirements necessary for verification (7.2.4.1)?",Atomic.,Consistent.,Feasible.,Testable.,D,Requirements must be Testable; vague terms like 'secure' lack measurable criteria.,Requirements Analysis and Design Definition,Medium,-2.42,0.85,0.25,0.01,quality-characteristics,testable,7.2.4.1,,analytical;
A BA performs verification and finds that two separate requirements contradict each other. Which quality characteristic has been violated?,Atomic.,Consistent.,Concise.,Understandable.,B,Requirements must be Consistent and not conflicting with other requirements.,Requirements Analysis and Design Definition,Easy,2.92,2.3,0.12,0.15,quality-characteristics,consistent,7.2.4.1,,analytical;
The core concept 'Solution' is addressed during Verify Requirements (7.2) by ensuring that the defined requirements are:,Applicable across multiple enterprise contexts.,Sufficiently clear and detailed to be used by the implementation team for design.,Approved by the highest authority decision maker.,Aligned precisely with the initial business need defined in strategy analysis.,B,Verification ensures requirements are usable for the solution team in design.,Requirements Analysis and Design Definition,Medium,0.58,1.4,0.2,0.07,core-concepts,usability,2.1,,analytical;
"During the Verification Activities element (7.2.4.2), a BA checks that all technical diagrams adhere to UML standards and that text documents follow organizational templates. This activity primarily aims to ensure compliance with:",Consistency with other models.,Correct use of modeling notation and forms.,Completeness within each model.,Clarity of terminology used.,B,"Verification includes checking for correct use of modelling notation, templates, or forms.",Requirements Analysis and Design Definition,Medium,0.32,1.25,0.25,0.05,verification-activities,quality-checks,7.2.4.2,,analytical;
The mandatory input for the Verify Requirements task (7.2) is:,Requirements (specified and modelled).,Requirements (validated).,Business Objectives.,Solution Scope.,A,The input is Requirements (specified and modelled) ready for quality check.,Requirements Analysis and Design Definition,Easy,0.08,1.2,0.25,0.05,verification,inputs,7.2.3,,analytical;
"The output of Verify Requirements (7.2), Requirements (verified), is a critical input to which subsequent task?",Prioritize Requirements (5.3).,Approve Requirements (5.5).,Measure Solution Performance (8.1).,Analyze Potential Value and Recommend Solution (7.6).,B,Requirements (verified) are necessary for the Approve Requirements task.,Requirements Analysis and Design Definition,Medium,-2.22,0.85,0.25,0.01,verification,outputs,7.2.8,,analytical;
The purpose of Validate Requirements (7.3) is to ensure that all requirements and designs:,Meet quality standards and are testable.,Are formally approved by the Project Manager.,Align to the business requirements and support the delivery of needed value.,Have clear traceability links to all downstream solution components.,C,The purpose is to ensure requirements align to business requirements and deliver value.,Requirements Analysis and Design Definition,Easy,0.46,1.4,0.25,0.06,validation,purpose,7.3.1,,analytical;
